description,qty_gr,kcal,category
"Açúcar, refinado",100,386,Produtos açucarados
"Chocolate, ao leite",100,539,Produtos açucarados
"Chocolate, ao leite, com castanha do Pará",100,558,Produtos açucarados
"Chocolate, ao leite, dietético",100,556,Produtos açucarados
"Chocolate, meio amargo",100,474,Produtos açucarados
Cocada branca,100,448,Produtos açucarados
"Doce, de abóbora, cremoso",100,198,Produtos açucarados
"Doce, de leite, cremoso",100,306,Produtos açucarados
"Geléia, mocotó, natural",100,106,Produtos açucarados
Glicose de milho,100,292,Produtos açucarados
Maria mole,100,301,Produtos açucarados
"Maria mole, coco queimado",100,306,Produtos açucarados
Marmelada,100,257,Produtos açucarados
"Mel, de abelha",100,309,Produtos açucarados
Melado,100,296,Produtos açucarados
Quindim,100,411,Produtos açucarados
Rapadura,100,351,Produtos açucarados
"Café, pó, torrado",100,418,Miscelâneas
"Capuccino, pó",100,417,Miscelâneas
"Fermento em pó, químico",100,89,Miscelâneas
"Fermento, biológico, levedura, tablete",100,89,Miscelâneas
"Gelatina, sabores variados, pó",100,380,Miscelâneas
"Sal, dietético",100,0,Miscelâneas
"Sal, grosso",100,0,Miscelâneas
Shoyu,100,60,Miscelâneas
Tempero a base de sal,100,21,Miscelâneas
"Azeitona, preta, conserva",100,194,Outros alimentos industrializados
"Azeitona, verde, conserva",100,136,Outros alimentos industrializados
"Chantilly, spray, com gordura vegetal",100,314,Outros alimentos industrializados
"Leite, de coco",100,166,Outros alimentos industrializados
"Maionese, tradicional com ovos",100,302,Outros alimentos industrializados
Acarajé,100,289,Alimentos preparados
Arroz carreteiro,100,153,Alimentos preparados
"Baião de dois, arroz e feijão-de-corda",100,135,Alimentos preparados
Barreado,100,164,Alimentos preparados
"Bife à cavalo, com contra filé",100,291,Alimentos preparados
Bolinho de arroz,100,273,Alimentos preparados
Camarão à baiana,100,100,Alimentos preparados
"Charuto, de repolho",100,78,Alimentos preparados
"Cuscuz, de milho, cozido com sal",100,113,Alimentos preparados
"Cuscuz, paulista",100,142,Alimentos preparados
"Cuxá, molho",100,80,Alimentos preparados
Dobradinha,100,124,Alimentos preparados
Estrogonofe de carne,100,173,Alimentos preparados
Estrogonofe de frango,100,156,Alimentos preparados
Feijão tropeiro mineiro,100,151,Alimentos preparados
Feijoada,100,116,Alimentos preparados
"Frango, com açafrão",100,112,Alimentos preparados
"Macarrão, molho bolognesa",100,119,Alimentos preparados
Maniçoba,100,134,Alimentos preparados
Quibebe,100,86,Alimentos preparados
"Salada, de legumes, com maionese",100,96,Alimentos preparados
"Salada, de legumes, cozida no vapor",100,35,Alimentos preparados
"Salpicão, de frango",100,147,Alimentos preparados
Sarapatel,100,122,Alimentos preparados
Tabule,100,57,Alimentos preparados
Tacacá,100,46,Alimentos preparados
"Tapioca, com manteiga",100,347,Alimentos preparados
"Tucupi, com pimenta-de-cheiro",100,27,Alimentos preparados
Vaca atolada,100,144,Alimentos preparados
Vatapá,100,254,Alimentos preparados
Virado à paulista,100,306,Alimentos preparados
Yakisoba,100,112,Alimentos preparados
"Amendoim, grão, cru",100,544,Leguminosas e derivados
"Amendoim, torrado, salgado",100,605,Leguminosas e derivados
"Ervilha, em vagem",100,88,Leguminosas e derivados
"Ervilha, enlatada, drenada",100,73,Leguminosas e derivados
"Feijão, carioca, cozido",100,76,Leguminosas e derivados
"Feijão, carioca, cru",100,329,Leguminosas e derivados
"Feijão, fradinho, cozido",100,78,Leguminosas e derivados
"Feijão, fradinho, cru",100,339,Leguminosas e derivados
"Feijão, jalo, cozido",100,92,Leguminosas e derivados
"Feijão, jalo, cru",100,327,Leguminosas e derivados
"Feijão, preto, cozido",100,77,Leguminosas e derivados
"Feijão, preto, cru",100,323,Leguminosas e derivados
"Feijão, rajado, cozido",100,84,Leguminosas e derivados
"Feijão, rajado, cru",100,325,Leguminosas e derivados
"Feijão, rosinha, cozido",100,67,Leguminosas e derivados
"Feijão, rosinha, cru",100,336,Leguminosas e derivados
"Feijão, roxo, cozido",100,76,Leguminosas e derivados
"Feijão, roxo, cru",100,331,Leguminosas e derivados
"Grão-de-bico, cru",100,354,Leguminosas e derivados
"Guandu, cru",100,344,Leguminosas e derivados
"Lentilha, cozida",100,92,Leguminosas e derivados
"Lentilha, crua",100,339,Leguminosas e derivados
"Paçoca, amendoim",100,486,Leguminosas e derivados
"Pé-de-moleque, amendoim",100,503,Leguminosas e derivados
"Soja, farinha",100,403,Leguminosas e derivados
"Soja, extrato solúvel, natural, fluido",100,39,Leguminosas e derivados
"Soja, extrato solúvel, pó",100,458,Leguminosas e derivados
"Soja, queijo (tofu)",100,64,Leguminosas e derivados
"Tremoço, cru",100,381,Leguminosas e derivados
"Tremoço, em conserva",100,120,Leguminosas e derivados
"Amêndoa, torrada, salgada",100,580,Nozes e sementes
"Castanha-de-caju, torrada, salgada",100,570,Nozes e sementes
"Castanha-do-Brasil, crua",100,642,Nozes e sementes
"Coco, cru",100,406,Nozes e sementes
"Coco, verde, cru",100,0,Nozes e sementes
"Farinha, de mesocarpo de babaçu, crua",100,328,Nozes e sementes
"Gergelim, semente",100,583,Nozes e sementes
"Linhaça, semente",100,495,Nozes e sementes
"Pinhão, cozido",100,174,Nozes e sementes
"Pupunha, cozida",100,218,Nozes e sementes
"Noz, crua",100,620,Nozes e sementes
